title, year, genre, img_path, synopsis
"The Pacific",2010,"Action, Adventure, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BNmEwNmI1MjItNjNjYy00NDE5LWJiNTYtM2QxMTI5ZjllZTBhL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","The Pacific Theatre of World War II, as seen through the eyes of several young Marines."
"How to Train Your Dragon",2010,"Animation, Adventure, Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_UX67_CR0,0,67,98_AL_.jpg","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
"Blue Mountain State",2010,"Comedy, Sport","https://images-na.ssl-images-amazon.com/images/M/MV5BMjQxOTI0MjcxM15BMl5BanBnXkFtZTcwOTY1MDk5NA@@._V1_UY98_CR0,0,67,98_AL_.jpg","Three incoming freshmen attending Midwestern college football powerhouse Blue Mountain State must quickly adapt to college life and juggle football, girls, classes and nonstop hazing."
"A Serbian Film",2010,"Horror, Mystery, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BNmEyODc1M2YtZDFiNS00YmQxLWEwY2YtMTQwNTk1NzUyYTBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","An aging porn star agrees to participate in an "art film" in order to make a clean break from the business, only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film."
"Victorious",2010,"Comedy, Drama, Family","https://images-na.ssl-images-amazon.com/images/M/MV5BZGQ3YjZlMjUtMDQ4Mi00NGNiLWFhODItYTUwMGM1ZGI5ZGY5XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UX67_CR0,0,67,98_AL_.jpg","Aspiring singer Tori Vega navigates life while attending a performing arts high school called Hollywood Arts."
"Alice in Wonderland",2010,"Adventure, Family, Fantasy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror."
"True Grit",2010,"Adventure, Drama, Western","https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxNjAzODQ0N15BMl5BanBnXkFtZTcwODY2MjMyNA@@._V1_UX67_CR0,0,67,98_AL_.jpg","A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer."
"Percy Jackson &amp; the Olympians: The Lightning Thief",2010,"Adventure, Family, Fantasy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5NDlmZWUtMjIyMC00NzQ3LTg3OWYtMzRkY2FiNzQ0Njc4XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_UX67_CR0,0,67,98_AL_.jpg","A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods."
"Toy Story 3",2010,"Animation, Adventure, Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_UY98_CR1,0,67,98_AL_.jpg","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
"Clash of the Titans",2010,"Action, Adventure, Fantasy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxNjg4MzU5OV5BMl5BanBnXkFtZTcwOTA3NTUwMw@@._V1_UX67_CR0,0,67,98_AL_.jpg","Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth."
"Incendies",2010,"Drama, Mystery, War","https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNTA3Njk4M15BMl5BanBnXkFtZTcwMzkzMzY3Mw@@._V1_UY98_CR0,0,67,98_AL_.jpg","Twins journey to the Middle East to discover their family history, and fulfill their mother's last wishes."
"Never Let Me Go",2010,"Drama, Romance, Sci-Fi","https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3NDQ1MjE2OF5BMl5BanBnXkFtZTcwNDIxNTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg","The lives of three friends, from their early school days into young adulthood, when the reality of the world they live in comes knocking."
"Haven",2010,"Crime, Drama, Fantasy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzMzk0ODIxMTVeQTJeQWpwZ15BbWU4MDkzMDY3OTYx._V1_UX67_CR0,0,67,98_AL_.jpg","Everyone in the coastal town of Haven, Maine has a dormant curse or "trouble" that could trigger at any time for any reason. FBI agent Audrey Parker, the sheriff and the town's black sheep must deal with the troubles' deadly effects."
"RED",2010,"Action, Comedy, Crime","https://images-na.ssl-images-amazon.com/images/M/MV5BMzg2Mjg1OTk0NF5BMl5BanBnXkFtZTcwMjQ4MTA3Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants."
"The A-Team",2010,"Action, Adventure, Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4ODc4NTQ1N15BMl5BanBnXkFtZTcwNDUxODUyMw@@._V1_UX67_CR0,0,67,98_AL_.jpg","A group of Iraq War veterans looks to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed."
"The Book of Eli",2010,"Action, Adventure, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BNTE1OWI1YzgtZjEyMy00MjQ4LWE0NWMtYTNhYjc0ZDQ3ZGRkXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_UX67_CR0,0,67,98_AL_.jpg","A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.""Black Mirror",2011,"Drama, Sci-Fi, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BNTEwYzNiMGUtNzRlYS00MTMzLTliNzgtOGUxZGZiNThlNWYwXkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_UX67_CR0,0,67,98_AL_.jpg","An anthology series exploring a twisted, high-tech world where humanity's greatest innovations and darkest instincts collide."
"Shameless",2011,"Comedy, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BZjQ3ZjFkZmQtYjMwZS00ZWFkLTgyNGMtYTE1OTI5ZTAwNWI3XkEyXkFqcGdeQXVyNjc3OTUzNzM@._V1_UX67_CR0,0,67,98_AL_.jpg","An alcoholic man lives in a perpetual stupor while his six children with whom he lives with cope as best they can."
"Game of Thrones",2011,"Action, Adventure, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3NTQ1NDg1Ml5BMl5BanBnXkFtZTgwNzY2NDA0MjI@._V1_UX67_CR0,0,67,98_AL_.jpg","Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years."
"Suits",2011,"Comedy, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MjYzOTU2Nl5BMl5BanBnXkFtZTgwMzAxMTg5MTE@._V1_UX67_CR0,0,67,98_AL_.jpg","On the run from a drug deal gone bad, Mike Ross, a brilliant college-dropout, finds himself a job working with Harvey Specter, one of New York City's best lawyers."
"American Horror Story",2011,"Drama, Horror, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MTcwMDAzMF5BMl5BanBnXkFtZTgwMzQ2MzkzMzI@._V1_UY98_CR0,0,67,98_AL_.jpg","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show, a hotel, a possessed farmhouse, and a cult."
"Homeland",2011,"Crime, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BZjNiOTA4YTEtYmE0Ni00Mzg4LTg1OTgtNTE0YWE3YTc0MDVhXkEyXkFqcGdeQXVyNjc3OTUzNzM@._V1_UX67_CR0,0,67,98_AL_.jpg","A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil."
"New Girl",2011,"Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5MzM1NzMwMl5BMl5BanBnXkFtZTgwNjQ2MzI2NzE@._V1_UX67_CR0,0,67,98_AL_.jpg","After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time."
"Once Upon a Time",2011,"Adventure, Fantasy, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BNmVjNGRlM2UtNTc3Zi00NDliLTg1NzItZjY1ZDFjNDI0MWFmXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UX67_CR0,0,67,98_AL_.jpg","A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed."
"Teen Wolf",2011,"Action, Comedy, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMTEwMzcyMjYwNzNeQTJeQWpwZ15BbWU4MDAwMTU2ODIy._V1_UY98_CR0,0,67,98_AL_.jpg","A somewhat awkward teen is attacked by a werewolf and inherits the curse himself, as well as the enemies that come with it."
"Bob's Burgers",2011,"Animation, Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MzI0NTQ3OV5BMl5BanBnXkFtZTgwODMyMzc1MDE@._V1_UX67_CR0,0,67,98_AL_.jpg","Bob Belcher, along with his wife and 3 children, try to run their last hope of holding the family together, which is running Bob's dream restaurant."
"Episodes",2011,"Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNzA5ODgyMV5BMl5BanBnXkFtZTgwMzEzOTc4MjI@._V1_UY98_CR4,0,67,98_AL_.jpg","British writer-producers Beverly and Sean Lincoln (Tamsin Greig and Stephen Mangan), have a wonderful marriage and a hit TV series to their credit. Things couldn't be better. Until Merc ...                "
"Death in Paradise",2011,"Crime, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BMjZmMDBjZWQtNmYyMS00MWZkLTk2ZDItYzBkYzcyZWM0ZGIxXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_UY98_CR1,0,67,98_AL_.jpg","A British inspector is transferred to Saint-Marie's police department, but he hates the sun, sea, and sand. The series follow his investigations into murders on the island. Later series see another British DI head the investigative team."
"Grimm",2011,"Drama, Fantasy, Horror","https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyODg2MzQwMV5BMl5BanBnXkFtZTgwNTA2MjE1MDI@._V1_UX67_CR0,0,67,98_AL_.jpg","A homicide detective discovers he is a descendant of hunters who fight supernatural forces."
"The Bridge",2011,"Crime, Mystery, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ3MDAzNDU4NV5BMl5BanBnXkFtZTgwNjE2NDQ0NzE@._V1_UY98_CR1,0,67,98_AL_.jpg","When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
"Person of Interest",2011,"Action, Crime, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BZDU1NzA5YzUtNTdmNy00NTVjLWFhNzEtYWI1NmNkNTA1ZDBhXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY98_CR0,0,67,98_AL_.jpg","An ex-assassin and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes--including the civilians' roles--are left a mystery."
"The Killing",2011,"Crime, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5MTUxMzU3Ml5BMl5BanBnXkFtZTgwMDU3NDYxMjE@._V1_UX67_CR0,0,67,98_AL_.jpg","A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car."
"Harry Potter and the Deathly Hallows: Part 2",2011,"Adventure, Drama, Fantasy","https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyZGU4YzUtNDkzYi00ZDRhLTljYzctYTMxMDQ4M2E0Y2YxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX67_CR0,0,67,98_AL_.jpg","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
"Vera",2011,"Crime, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BNmRlOGExNWMtZGY5NC00MjI1LWFlMDQtOWM3ODQyNzg1ZWM5XkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_UY98_CR1,0,67,98_AL_.jpg","With her caustic wit and singular charm, DCI Vera Stanhope and her team face a series of captivating murder mysteries set against the breathtaking Northumberland landscape."
"Thor",2011,"Action, Adventure, Fantasy","https://images-na.ssl-images-amazon.com/images/M/MV5BOGE4NzU1YTAtNzA3Mi00ZTA2LTg2YmYtMDJmMThiMjlkYjg2XkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_UX67_CR0,0,67,98_AL_.jpg","The powerful, but arrogant god Thor, is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
"2 Broke Girls",2011,"Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMDA3Mzg5NV5BMl5BanBnXkFtZTgwNDIxOTcwMDI@._V1_UX67_CR0,0,67,98_AL_.jpg","Two young women waitressing at a greasy spoon diner strike up an unlikely friendship in the hopes of launching a successful business - if only they can raise the cash."
"The Help",2011,"Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5OTMyMjIxOV5BMl5BanBnXkFtZTcwNzU4MjIwNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
"Drive",2011,"Crime, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BZjY5ZjQyMjMtMmEwOC00Nzc2LTllYTItMmU2MzJjNTg1NjY0XkEyXkFqcGdeQXVyNjQ1MTMzMDQ@._V1_UX67_CR0,0,67,98_AL_.jpg","A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor."
"Last Man Standing",2011,"Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BZWI5NTI2YzQtNGJmZi00ZWI5LWIwY2ItMTEzYWNmYmJlYzI0XkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UX67_CR0,0,67,98_AL_.jpg","A married father of three tries to maintain his manliness in a world increasingly dominated by women."
"The Girl with the Dragon Tattoo",2011,"Crime, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNDk4NTQ0OV5BMl5BanBnXkFtZTcwNDAxMDgxNw@@._V1_UX67_CR0,0,67,98_AL_.jpg","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker."
"Revenge",2011,"Drama, Mystery, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2NjA5MDc0OF5BMl5BanBnXkFtZTgwNTE4OTA5MjE@._V1_UY98_CR3,0,67,98_AL_.jpg","An emotionally troubled young woman makes it her mission to exact revenge against the people who wronged her father."
"Tinker Tailor Soldier Spy",2011,"Drama, Mystery, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2OTkwNzMyM15BMl5BanBnXkFtZTcwOTI4ODg2Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg","In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet Agent within MI6."
"Hart of Dixie",2011,"Comedy, Drama, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NDU1MzQ3NF5BMl5BanBnXkFtZTcwNDk2NzQzNg@@._V1_UX67_CR0,0,67,98_AL_.jpg","New Yorker and new doctor Zoe Hart accepts an offer from a stranger, Dr. Harley Wilkes, to work in his medical practice in Bluebell, Alabama. She arrives to find he has died and left half the practice to her in his will."
"Hanna",2011,"Action, Drama, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BNTAzMTg1NjY0NF5BMl5BanBnXkFtZTcwODc3MTgzNA@@._V1_UX67_CR0,0,67,98_AL_.jpg","A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives."
